timestamp,range_mm_raw
2026-05-24T16:40:45.843,50.0
2026-05-24T16:40:45.947,50.0
2026-05-24T16:40:46.051,50.0
2026-05-24T16:40:46.155,50.0
2026-05-24T16:40:46.259,50.0
2026-05-24T16:40:46.362,50.0
2026-05-24T16:40:46.466,50.0
2026-05-24T16:40:46.585,50.0
2026-05-24T16:40:46.689,50.0
2026-05-24T16:40:46.792,50.0
2026-05-24T16:40:46.896,50.0
2026-05-24T16:40:46.999,50.0
2026-05-24T16:40:47.103,50.0
2026-05-24T16:40:47.207,50.0
2026-05-24T16:40:47.311,50.0
2026-05-24T16:40:47.415,50.0
2026-05-24T16:40:47.519,50.0
2026-05-24T16:40:47.622,50.0
2026-05-24T16:40:47.726,50.0
2026-05-24T16:40:47.831,50.0
2026-05-24T16:40:47.935,50.0
2026-05-24T16:40:48.038,50.0
2026-05-24T16:40:48.156,50.0
2026-05-24T16:40:48.260,50.0
2026-05-24T16:40:48.363,50.0
2026-05-24T16:40:48.467,50.0
2026-05-24T16:40:48.571,50.0
2026-05-24T16:40:48.676,50.0
2026-05-24T16:40:48.780,50.0
2026-05-24T16:40:48.884,50.0
2026-05-24T16:40:48.987,50.0
2026-05-24T16:40:49.091,40.0
2026-05-24T16:40:49.195,50.0
2026-05-24T16:40:49.299,50.0
2026-05-24T16:40:49.403,50.0
2026-05-24T16:40:49.506,50.0
2026-05-24T16:40:49.610,50.0
2026-05-24T16:40:49.730,40.0
2026-05-24T16:40:49.834,50.0
2026-05-24T16:40:49.937,40.0
2026-05-24T16:40:50.041,50.0
2026-05-24T16:40:50.145,50.0
2026-05-24T16:40:50.249,50.0
2026-05-24T16:40:50.352,40.0
2026-05-24T16:40:50.456,40.0
2026-05-24T16:40:50.560,40.0
2026-05-24T16:40:50.664,50.0
2026-05-24T16:40:50.768,40.0
2026-05-24T16:40:50.872,40.0
2026-05-24T16:40:50.975,40.0
2026-05-24T16:40:51.079,50.0
2026-05-24T16:40:51.183,40.0
2026-05-24T16:40:51.302,50.0
2026-05-24T16:40:51.406,40.0
2026-05-24T16:40:51.509,40.0
2026-05-24T16:40:51.613,50.0
2026-05-24T16:40:51.717,40.0
2026-05-24T16:40:51.821,40.0
2026-05-24T16:40:51.925,50.0
2026-05-24T16:40:52.028,40.0
