time,state,control_mode,l1input_valid,l1output_valid,fail_reason,gps_pos_fresh,gps_motion_fresh,imu_gyrz_fresh,imu_yaw_fresh,baro_sink_fresh,acc_fresh,dr_current_valid,dr_confidence,nav_E,nav_N,nav_V,nav_course_deg,yaw_rate_cmd_dps,left_pwm_est,right_pwm_est,origin_lock_source,yaw_saturated,servo_saturated,before_mode
17286.537,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17286.587,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17286.637,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17286.688,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17286.738,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17286.788,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17286.838,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17286.888,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17286.939,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17286.989,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17287.039,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17287.089,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17287.14,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17287.19,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17287.24,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17287.29,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17287.34,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17287.39,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17287.441,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17287.491,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17287.541,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17287.591,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17287.642,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17287.692,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17287.744,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17287.794,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17287.844,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17287.895,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17287.945,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17287.995,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17288.045,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17288.095,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17288.145,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17288.195,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17288.246,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17288.296,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17288.347,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17288.397,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17288.447,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17288.497,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17288.547,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17288.597,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17288.648,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17288.698,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17288.748,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17288.798,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17288.848,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17288.898,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17288.949,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17288.999,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17289.049,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17289.099,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17289.149,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17289.2,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17289.25,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17289.3,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17289.353,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17289.403,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17289.453,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17289.503,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17289.554,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17289.604,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17289.654,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17289.704,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17289.754,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17289.805,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17289.856,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17289.906,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17289.956,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17290.006,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17290.057,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17290.107,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17290.157,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17290.207,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17290.257,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17290.308,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17290.358,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17290.408,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17290.458,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17290.509,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17290.559,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17290.609,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17290.659,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17290.709,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17290.761,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17290.811,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17290.862,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17290.912,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17290.963,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17291.013,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17291.063,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17291.113,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17291.163,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17291.213,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17291.264,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17291.314,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
17291.364,1,FAIL,0,0,NO_ORIGIN,0,0,1,1,1,1,0,0.0,,,,,0.0,1591,1524,,0,0,FAIL
