scenario,cycle,t,mode,fail_reason,gps_pos_fresh,gps_motion_fresh,imu_gyrz_fresh,imu_yaw_fresh,baro_sink_fresh,acc_fresh,nav_valid,nav_E,nav_N,nav_V,nav_course_deg,dr_current_E,dr_current_N,dr_confidence,dr_age_s,dr_method,l1_valid,l1_reason,l1out_valid,l1out_reason,yaw_rate_cmd_dps,yaw_rate_limit_dps,ctrl_valid,ctrl_reason,delta_arm_deg,produce_l1input_mutated_dr,decide_calls,truth_E,truth_N,truth_course_deg,truth_V,est_distance_to_target,truth_distance_to_target,distance_error_m,target_bearing_est_deg,target_bearing_truth_deg,nu_est_deg,nu_truth_deg,abs_nu_est_deg,abs_nu_truth_deg,closing_rate_est_mps,closing_rate_truth_mps,distance_decreasing_est,distance_decreasing_truth,yaw_cmd_sign_correct_est,yaw_cmd_sign_correct_truth,target_pointing_ok,baro_sink_spike,speed_clamped,dr_speed_source,jump_current_unchanged
C_DR_PM_G_FALLBACK,1,1005.4000000000001,DR_PM_G_CLOSED,DR_PM_G_CLOSED,False,False,True,False,False,False,True,2.800000000000182,1.7145055188064058e-16,4.0,90.0,2.800000000000182,1.7145055188064058e-16,0.9919999999999982,5.400000000000091,GYRO_INTEGRATION,True,DR_PM_G_CLOSED,True,DR_PM_G_CLOSED,-9.502764054416087,29.999999999999996,True,OK,-24.137792295567255,False,1,21.600000000000183,1.3226185430791527e-15,90.0,4.0,79.74860500347309,61.72973351635319,18.018871487119895,75.47584806258078,71.0954241573883,-14.524151937419221,-18.904575842611713,14.524151937419221,18.904575842611713,3.872168045905642,3.784237946501339,True,True,True,True,True,False,False,SPEED_LASTV,
C_DR_PM_G_FALLBACK,2,1005.6,DR_PM_G_CLOSED,DR_PM_G_CLOSED,False,False,True,False,False,False,True,3.599999999999909,2.20436423846518e-16,4.0,90.0,3.599999999999909,2.20436423846518e-16,0.9879999999999995,5.600000000000023,GYRO_INTEGRATION,True,DR_PM_G_CLOSED,True,DR_PM_G_CLOSED,-9.557225522752432,29.999999999999996,True,OK,-25.44373193645353,False,1,22.400000000000183,1.371604415045047e-15,90.0,4.0,78.97442624039768,60.973436839331754,18.000989401065922,75.33029092452541,70.85186254206035,-14.669709075474586,-19.14813745793965,14.669709075474586,19.14813745793965,3.8696070936907576,3.778694656939144,True,True,True,True,True,False,False,SPEED_LASTV,
C_DR_PM_G_FALLBACK,3,1005.8000000000001,DR_PM_G_CLOSED,DR_PM_G_CLOSED,False,False,True,False,False,False,True,4.400000000000091,2.6942229581242327e-16,4.0,90.0,4.400000000000091,2.6942229581242327e-16,0.9839999999999987,5.800000000000068,GYRO_INTEGRATION,True,DR_PM_G_CLOSED,True,DR_PM_G_CLOSED,-9.612701429207492,29.999999999999996,True,OK,-26.759710391520777,False,1,23.200000000000184,1.4205902870109412e-15,90.0,4.0,78.20076725966304,60.21826965298803,17.98249760667501,75.18185274911917,70.60218755144172,-14.818147250880825,-19.397812448558284,14.818147250880825,19.397812448558284,3.8669697318427905,3.7729413566556307,True,True,True,True,True,False,False,SPEED_LASTV,
C_DR_PM_G_FALLBACK,4,1006.0,DR_PM_G_CLOSED,DR_PM_G_CLOSED,False,False,True,False,False,False,True,5.199999999999818,3.184081677783007e-16,4.0,90.0,5.199999999999818,3.184081677783007e-16,0.98,6.0,GYRO_INTEGRATION,True,DR_PM_G_CLOSED,True,DR_PM_G_CLOSED,-9.669219119638061,29.999999999999996,True,OK,-28.085954995690628,False,1,24.000000000000185,1.4695761589768354e-15,90.0,4.0,77.42764364230663,59.46427498927385,17.963368653032788,75.03044919720156,70.34617594194664,-14.969550802798434,-19.65382405805336,14.969550802798434,19.65382405805336,3.8642529453978782,3.7669676463793484,True,True,True,True,True,False,False,SPEED_LASTV,
C_DR_PM_G_FALLBACK,5,1006.2,DR_PM_G_CLOSED,DR_PM_G_CLOSED,False,False,True,False,False,False,True,6.0,3.6739403974420594e-16,4.0,90.0,6.0,3.6739403974420594e-16,0.9759999999999991,6.2000000000000455,GYRO_INTEGRATION,True,DR_PM_G_CLOSED,True,DR_PM_G_CLOSED,-9.726806875936694,29.999999999999996,True,OK,-29.42270039266445,False,1,24.800000000000185,1.5185620309427296e-15,90.0,4.0,76.6550715869472,58.711498022107904,17.943573564839298,74.87599269168945,70.08359400619085,-15.12400730831056,-19.916405993809146,15.12400730831056,19.916405993809146,3.8614535721130654,3.7607624986311317,True,True,True,True,True,False,False,SPEED_LASTV,
C_DR_PM_G_FALLBACK,6,1006.4000000000001,DR_PM_G_CLOSED,DR_PM_G_CLOSED,False,False,True,False,False,False,True,6.800000000000182,4.163799117101112e-16,4.0,90.0,6.800000000000182,4.163799117101112e-16,0.9719999999999982,6.400000000000091,GYRO_INTEGRATION,True,DR_PM_G_CLOSED,True,DR_PM_G_CLOSED,-9.785493953225963,29.999999999999996,True,OK,-30.77018882747204,False,1,25.600000000000186,1.5675479029086238e-15,90.0,4.0,75.88306794008776,57.959986197375684,17.92308174271207,74.71839226530514,69.8141969905351,-15.281607734694859,-20.18580300946491,15.281607734694859,20.18580300946491,3.8585682939331702,3.7543142135850225,True,True,True,True,True,False,False,SPEED_LASTV,
C_DR_PM_G_FALLBACK,7,1006.6,DR_PM_G_CLOSED,DR_PM_G_CLOSED,False,False,True,False,False,False,True,7.599999999999909,4.653657836759887e-16,4.0,90.0,7.599999999999909,4.653657836759887e-16,0.9679999999999995,6.600000000000023,GYRO_INTEGRATION,True,DR_PM_G_CLOSED,True,DR_PM_G_CLOSED,-9.845310618607297,29.999999999999996,True,OK,-32.12867045233017,False,1,26.400000000000187,1.616533774874518e-15,90.0,4.0,75.11165022817707,57.209789372099415,17.901860856077654,74.55755339993046,69.53772847657774,-15.442446600069548,-20.462271523422267,15.442446600069548,20.462271523422267,3.8555936278891796,3.7476103714613527,True,True,True,True,True,False,False,SPEED_LASTV,
D_DR_PM_YBA_OPEN,0,1005.2,DR_PM_YBA_OPEN,DR_PM_YBA_OPEN,False,False,False,True,True,True,True,2.2,1.3471114790620887e-16,4.4,90.0,2.2,1.3471114790620887e-16,0.9959999999999991,5.2000000000000455,YAW_ACC_BLEND,True,DR_PM_YBA_OPEN,True,DR_PM_YBA_OPEN,-10.419285640500204,20.0,True,OK,-37.969938727327516,False,1,20.800000000000182,1.2736326711132585e-15,90.0,4.0,80.3295711428861,62.48711867257106,17.84245247031504,75.58317422208754,71.33308572577972,-14.416825777912464,-18.666914274220268,14.416825777912464,18.666914274220268,4.261444386290807,3.7895810373465575,False,False,True,True,True,False,False,SPEED_BARO,
D_DR_PM_YBA_OPEN,1,1005.4000000000001,DR_PM_YBA_OPEN,DR_PM_YBA_OPEN,False,False,False,True,True,True,True,3.0800000000002004,1.8859560706870467e-16,4.4,90.0,3.0800000000002004,1.8859560706870467e-16,0.9919999999999982,5.400000000000091,YAW_ACC_BLEND,True,DR_PM_YBA_OPEN,True,DR_PM_YBA_OPEN,-10.48868561453251,20.0,True,OK,-38.31990748192585,False,1,21.600000000000183,1.3226185430791527e-15,90.0,4.0,79.47758426122405,61.72973351635319,17.74785074487086,75.42522563557534,71.0954241573883,-14.574774364424654,-18.904575842611713,14.574774364424654,18.904575842611713,4.258408243607412,3.784237946501339,True,True,True,True,True,False,False,SPEED_BARO,
D_DR_PM_YBA_OPEN,2,1005.6,DR_PM_YBA_OPEN,DR_PM_YBA_OPEN,False,False,False,True,True,True,True,3.9599999999999005,2.4248006623116983e-16,4.4,90.0,3.9599999999999005,2.4248006623116983e-16,0.9879999999999995,5.600000000000023,YAW_ACC_BLEND,True,DR_PM_YBA_OPEN,True,DR_PM_YBA_OPEN,-10.559506750303642,20.0,True,OK,-38.67823841534522,False,1,22.400000000000183,1.371604415045047e-15,90.0,4.0,78.6262144580293,60.973436839331754,17.65277761869754,75.26385524519802,70.85186254206035,-14.736144754801979,-19.14813745793965,14.736144754801979,19.14813745793965,4.255272904924061,3.778694656939144,True,True,True,True,True,False,False,SPEED_BARO,
