mode,K,tau,disturbance_dps,command_dps,final_yaw_rate_dps,final_error_dps,final_error_ratio,error_ratio_1s,response_time_63_s,max_abs_yaw_rate_dps,saturation_ratio,settling_time_s,diverged,opposite_sign,pass,fail_reason
GPS_TRACKING_CLOSED,0.32,0.5,0.0,-30.0,-24.989616437330454,-5.010383562669546,0.16701278542231818,0.24818442301090898,0.65,25.005507936887632,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.5,0.0,-15.0,-11.007128020534992,-3.992871979465008,0.2661914652976672,0.32435081942857036,0.8500000000000001,11.007128020534992,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.5,0.0,15.0,11.007128020534992,3.992871979465008,0.2661914652976672,0.32435081942857036,0.8500000000000001,11.007128020534992,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.5,0.0,30.0,24.989616437330454,5.010383562669546,0.16701278542231818,0.24818442301090898,0.65,25.005507936887632,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.5,15.0,-30.0,-12.236874293039962,-17.76312570696004,0.5921041902320013,0.6353573319448211,nan,12.236874293039962,0.0,nan,False,False,False,FINAL_ERROR
GPS_TRACKING_CLOSED,0.32,0.5,15.0,-15.0,-0.36935704498103683,-14.630642955018963,0.9753761970012642,1.0327308444289345,nan,1.6342335612276397,0.0,nan,False,False,False,FINAL_ERROR
GPS_TRACKING_CLOSED,0.32,0.5,15.0,15.0,19.92602515249529,-4.9260251524952885,0.32840167683301924,0.38972898439384596,0.25,21.542809786457923,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.5,15.0,30.0,34.93121979586379,-4.93121979586379,0.16437399319545964,0.10778226275797044,0.35000000000000003,35.64461598196423,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.66,-15.0,-30.0,-34.94899298984748,4.948992989847483,0.1649664329949161,0.02750755186591102,0.45,35.961402716067845,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.66,-15.0,-15.0,-19.86053086893179,4.860530868931789,0.3240353912621193,0.29343433489902654,0.30000000000000004,21.570042028007563,0.0,nan,False,False,True,
GPS_TRACKING_CLOSED,0.32,0.66,-15.0,15.0,0.36935698982056747,14.630643010179433,0.9753762006786288,1.0414015147788214,nan,1.4124994904808494,0.0,nan,False,False,False,FINAL_ERROR
GPS_TRACKING_CLOSED,0.32,0.66,-15.0,30.0,12.236874167631692,17.76312583236831,0.592104194412277,0.6670847828460109,nan,12.236874167631692,0.0,nan,False,False,False,FINAL_ERROR
