mode,K,tau,disturbance_dps,command_dps,l1_yaw_rate_cmd_dps,l1_yaw_rate_limit_dps,ctrl_in_yaw_rate_limit_dps,ctrl_out_yaw_rate_limit_dps,limit_transferred,delta_ff_deg,expected_delta_ff_deg,ff_uses_mode_limit,ff_scale,final_yaw_rate_dps,final_error_dps,final_error_abs_limit_dps,final_error_ratio,max_abs_yaw_rate_dps,saturation_ratio,response_time_63_s,settling_time_s,diverged,opposite_sign,pass,fail_reason
GPS_TRACKING_CLOSED,0.63,0.5,0.0,-30.0,-29.999999999999996,59.99999999999999,59.99999999999999,59.99999999999999,True,-59.800775541957435,-59.80077554195746,True,1.0,-34.846963790378965,4.846963790378965,60.0,0.16156545967929883,37.8168221787914,0.0,0.25,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.5,0.0,-15.0,-14.999999999999986,59.99999999999999,59.99999999999999,59.99999999999999,True,-24.374999999999975,-24.375000000000004,True,1.0,-18.11925066603479,3.119250666034791,30.0,0.2079500444023194,18.11925066603479,0.0,0.30000000000000004,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.5,0.0,15.0,14.999999999999986,59.99999999999999,59.99999999999999,59.99999999999999,True,24.374999999999975,24.375000000000004,True,1.0,18.11925066603479,-3.119250666034791,30.0,0.2079500444023194,18.11925066603479,0.0,0.30000000000000004,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.5,0.0,30.0,29.999999999999996,59.99999999999999,59.99999999999999,59.99999999999999,True,59.800775541957435,59.80077554195746,True,1.0,34.846963790378965,-4.846963790378965,60.0,0.16156545967929883,37.8168221787914,0.0,0.25,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.5,15.0,-30.0,-29.999999999999996,59.99999999999999,59.99999999999999,59.99999999999999,True,-59.800775541957435,-59.80077554195746,True,1.0,-30.622419787691594,0.6224197876915945,60.0,0.02074732625638648,30.622419787691594,0.0,0.4,0.9,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.5,15.0,-15.0,-14.999999999999986,59.99999999999999,59.99999999999999,59.99999999999999,True,-24.374999999999975,-24.375000000000004,True,1.0,-10.04585807577575,-4.954141924224251,30.0,0.33027612828161673,10.171505022470214,0.0,1.35,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.5,15.0,15.0,14.999999999999986,59.99999999999999,59.99999999999999,59.99999999999999,True,24.374999999999975,24.375000000000004,True,1.0,19.979149402730716,-4.979149402730716,30.0,0.33194329351538104,25.180971372537936,0.0,0.15000000000000002,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.5,15.0,30.0,29.999999999999996,59.99999999999999,59.99999999999999,59.99999999999999,True,59.800775541957435,59.80077554195746,True,1.0,39.48908358328595,-9.489083583285947,60.0,0.31630278610953155,45.71647520688751,0.0,0.2,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.66,-15.0,-30.0,-29.999999999999996,59.99999999999999,59.99999999999999,59.99999999999999,True,-59.800775541957435,-59.80077554195746,True,1.0,-39.48908376139808,9.489083761398078,60.0,0.3163027920466026,45.615998935854925,0.0,0.25,nan,False,False,True,
GPS_TRACKING_CLOSED,0.63,0.66,-15.0,-15.0,-14.999999999999986,59.99999999999999,59.99999999999999,59.99999999999999,True,-24.374999999999975,-24.375000000000004,True,1.0,-20.0239753916875,5.0239753916875,30.0,0.3349316927791667,24.983902365388577,0.0,0.2,nan,False,False,True,
